OBJECTID,Id,Company,Status,StatusStart,LatestEventStart,LatestEventEnd,Latitude,Longitude,ReceivingWaterCourse,LastUpdated,x,y
1330,WXW01177,Wessex Water,0,12/15/2025 4:52:00 PM,12/15/2025 4:50:00 PM,12/15/2025 4:52:00 PM,50.715726880008,-2.43269725606092,THE MILL STREAM VIA SWS,3/9/2026 5:33:26 PM,-270806.619798896,6571162.31365102
1331,WXW01230,Wessex Water,0,,,,50.9400927914166,-2.52084322581666,RIVER YEO VIA SWS,3/9/2026 5:33:26 PM,-280618.984267584,6610703.66460156
1332,WXW01135,Wessex Water,0,,,,50.9445558599872,-2.51262028772909,RIVER YEO VIA SWS,3/9/2026 5:33:26 PM,-279703.610986851,6611492.15000355
1333,WXW00641,Wessex Water,0,,,,50.9453240986653,-2.51113207138166,RIVER YEO VIA SWS,3/9/2026 5:33:26 PM,-279537.943500865,6611627.8815197
1334,WXW00388,Wessex Water,0,12/1/2025 5:54:00 PM,12/1/2025 5:48:00 PM,12/1/2025 5:54:00 PM,50.7328592849392,-2.75158686536442,RIVER ASKER(S),3/9/2026 5:33:26 PM,-306305.248725827,6574174.97055233
1335,WXW01129,Wessex Water,0,,,,50.7393426010316,-2.89724406998427,RIVER CHAR,3/9/2026 5:33:26 PM,-322519.734574481,6575315.32012
1336,WXW00844,Wessex Water,0,,,,51.436391175383,-2.85035864971614,LAND YEO,3/9/2026 5:33:26 PM,-317300.473464603,6698852.33581229
1337,WXW00825,Wessex Water,0,11/14/2025 3:40:00 PM,11/14/2025 3:28:00 PM,11/14/2025 3:40:00 PM,51.436724344531,-2.84863508056492,LAND YEO (S),3/9/2026 5:33:26 PM,-317108.606624343,6698911.83109804
1338,WXW00477,Wessex Water,0,,,,50.627209217329,-2.46600867393875,RADIPOLE LAKE,3/9/2026 5:33:26 PM,-274514.829874657,6555614.3941835
1339,WXW00644,Wessex Water,-1,,6/7/2025 2:58:00 PM,6/7/2025 3:12:00 PM,50.6073567323286,-2.45950436093749,WEYMOUTH HARBOUR(E),3/9/2026 5:33:26 PM,-273790.773063397,6552131.37189123
1340,WXW00688,Wessex Water,0,,,,50.6064340420167,-2.45273734524099,WEYMOUTH HARBOUR VIA SWS (E),3/9/2026 5:33:26 PM,-273037.472321873,6551969.52609154
1341,WXW01031,Wessex Water,0,,,,50.6064340420167,-2.45273734524099,WEYMOUTH HARBOUR VIA SWS (E),3/9/2026 5:33:26 PM,-273037.472321873,6551969.52609154
1342,WXW01188,Wessex Water,0,,,,50.6073567323286,-2.45950436093749,WEYMOUTH HARBOUR(E),3/9/2026 5:33:26 PM,-273790.773063397,6552131.37189123
1343,WXW01240,Wessex Water,0,,,,50.6074057054388,-2.45951586535004,WEYMOUTH HARBOUR(E),3/9/2026 5:33:26 PM,-273792.053728744,6552139.96217762
1344,WXW00485,Wessex Water,0,11/11/2025 8:31:00 PM,11/11/2025 8:13:00 PM,11/11/2025 8:31:00 PM,51.2162841381308,-3.47174787528546,BRISTOL CHANNEL (C),3/9/2026 5:33:26 PM,-386473.205639407,6659641.42375767
1345,WXW00071,Wessex Water,0,7/29/2025 2:02:00 PM,7/29/2025 1:56:00 PM,7/29/2025 2:02:00 PM,51.263110039698,-2.18141392198989,BITHAM BROOK,3/9/2026 5:33:26 PM,-242833.887005272,6667967.47126361
1346,WXW01221,Wessex Water,0,,,,51.2665342926198,-2.1841609363228,BITHAM BROOK VIA SWS,3/9/2026 5:33:26 PM,-243139.683242013,6668576.66556311
1347,WXW00990,Wessex Water,0,,,,51.3233156750707,-2.22050712663591,RIVER BISS VIA SWS,3/9/2026 5:33:26 PM,-247185.722639945,6678685.02404371
1348,WXW01034,Wessex Water,0,,,,51.2376829426165,-2.99171561022322,A LOCAL DITCH,3/9/2026 5:33:26 PM,-333036.258328337,6663445.26347561
1349,WXW00821,Wessex Water,0,,,,51.1706777300094,-3.38421426752857,PILL RIVER,3/9/2026 5:33:26 PM,-376729.008996612,6651540.34892164
1350,WXW00887,Wessex Water,0,1/27/2026 7:50:00 AM,1/27/2026 5:38:00 AM,1/27/2026 7:50:00 AM,50.9418074323054,-2.64706795429462,A TRIBUTARY OF THE RIVER YEO,3/9/2026 5:33:26 PM,-294670.256767269,6611006.57936269
1351,WXW00520,Wessex Water,0,8/29/2025 1:30:00 PM,8/29/2025 1:22:00 PM,8/29/2025 1:30:00 PM,50.936728381882,-2.63739011357953,DODHAM BROOK VIA SWS,3/9/2026 5:33:26 PM,-293592.924466887,6610109.32810955
